x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
78.100000,0.0054516426,0.0116553331,0.0054489613,0.0054462800,0.0115855298,-0.0053033004,0.9999180275,0.9997540826
79.100000,-0.0067173426,0.0106250341,-0.0067141217,-0.0067109009,0.0107099562,0.0068527402,0.9999200871,0.9997602612
80.100000,-0.0124836915,-0.0000233611,-0.0124778543,-0.0124720172,0.0001324902,0.0124853455,0.9999220699,0.9997662098
81.100000,-0.0067719108,-0.0103879355,-0.0067688220,-0.0067657331,-0.0103044347,0.0066448524,0.9999239799,0.9997719398
82.100000,0.0049509563,-0.0110683509,0.0049487527,0.0049465492,-0.0111286549,-0.0050865063,0.9999258205,0.9997774616
83.100000,0.0118945742,-0.0016813929,0.0118894068,0.0118842395,-0.0018245286,-0.0119165300,0.9999275951,0.9997827853
84.100000,0.0078672813,0.0090093982,0.0078639443,0.0078606073,0.0089158514,-0.0077612664,0.9999293067,0.9997879202
85.100000,-0.0032135095,0.0112651836,-0.0032121783,-0.0032108471,0.0113029451,0.0033463291,0.9999309584,0.9997928752
86.100000,-0.0111167355,0.0032342950,-0.0111122368,-0.0111077380,0.0033634093,0.0111557995,0.9999325528,0.9997976585
87.100000,-0.0087351555,-0.0075509069,-0.0087317013,-0.0087282470,-0.0074506181,0.0086496146,0.9999340927,0.9998022780
88.100000,0.0015322623,-0.0112294482,0.0015316700,0.0015310778,-0.0112468405,-0.0016599222,0.9999355804,0.9998067411
89.100000,0.0101762667,-0.0046193979,0.0101724211,0.0101685756,-0.0047336096,-0.0102293936,0.9999370183,0.9998110548
90.100000,0.0093762229,0.0060428644,0.0093727579,0.0093692930,0.0059387997,-0.0093103095,0.9999384086,0.9998152257
91.100000,0.0000679134,0.0109774838,0.0000678889,0.0000678643,0.0109767383,0.0000525776,0.9999397533,0.9998192599
92.100000,-0.0091000225,0.0058240831,-0.0090968041,-0.0090935857,0.0059228890,0.0091643319,0.9999410545,0.9998231635
93.100000,-0.0097943576,-0.0045145809,-0.0097909676,-0.0097875776,-0.0044093784,0.0097469958,0.9999423140,0.9998269419
94.100000,-0.0015647429,-0.0105277917,-0.0015642128,-0.0015636826,-0.0105111631,0.0014530408,0.9999435335,0.9998306005
95.100000,0.0079152889,-0.0068390967,0.0079126633,0.0079100377,-0.0069223279,-0.0079880789,0.9999447148,0.9998341444
