x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
4.300000,-0.2130618458,0.0436598433,0.2435222016,0.2395055073,0.0932091098,0.2347383829,1.0000000000,-11.3266666667
4.400000,-0.2162731986,0.0206953799,0.2303836849,0.2411042620,0.0698483795,0.2321478303,1.0000000000,-11.9066666667
4.500000,-0.2172289150,-0.0014295812,0.2162758609,0.2417360933,0.0468435110,0.2276385841,1.0000000000,-12.5000000000
4.600000,-0.2160197834,-0.0225798384,0.2012938019,0.2413774491,0.0243809841,0.2213199973,1.0000000000,-13.1066666667
4.700000,-0.2127496293,-0.0426299927,0.1855389956,0.2400119030,0.0026358858,0.2133104560,1.0000000000,-13.7266666667
4.800000,-0.2075342935,-0.0614652660,0.1691185022,0.2376303725,-0.0182289549,0.2037365946,1.0000000000,-14.3600000000
4.900000,-0.2005005332,-0.0789822250,0.1521440689,0.2342312749,-0.0380637489,0.1927324212,1.0000000000,-15.0066666667
5.000000,-0.1917848549,-0.0950894081,0.1347312101,0.2298206182,-0.0567324371,0.1804383675,1.0000000000,-15.6666666667
5.100000,-0.1815322907,-0.1097078497,0.1169982614,0.2244120276,-0.0741132829,0.1670002744,1.0000000000,-16.3400000000
5.200000,-0.1698951261,-0.1227714995,0.0990654148,0.2180267061,-0.0900993599,0.1525683261,1.0000000000,-17.0266666667
5.300000,-0.1570315929,-0.1342275338,0.0810537436,0.2106933296,-0.1045989314,0.1372959454,1.0000000000,-17.7266666667
5.400000,-0.1431045347,-0.1440365575,0.0630842250,0.2024478770,-0.1175357178,0.1213386611,1.0000000000,-18.4400000000
5.500000,-0.1282800592,-0.1521726970,0.0452767699,0.1933333969,-0.1288490499,0.1048529592,1.0000000000,-19.1666666667
5.600000,-0.1127261853,-0.1586235828,0.0277492660,0.1833997132,-0.1384939069,0.0879951305,1.0000000000,-19.9066666667
5.700000,-0.0966114987,-0.1633902252,0.0106166433,0.1727030702,-0.1464408394,0.0709201234,1.0000000000,-20.6600000000
5.800000,-0.0801038240,-0.1664867829,-0.0060100292,0.1613057233,-0.1526757788,0.0537804139,1.0000000000,-21.4266666667
5.900000,-0.0633689262,-0.1679402300,-0.0220244110,0.1492754749,-0.1571997340,0.0367249035,1.0000000000,-22.2066666667
6.000000,-0.0465692497,-0.1677899227,-0.0373257117,0.1366851630,-0.1600283811,0.0198978528,1.0000000000,-23.0000000000
6.100000,-0.0298627056,-0.1660870728,-0.0518194613,0.1236121045,-0.1611915473,0.0034378618,1.0000000000,-23.8066666667
6.200000,-0.0134015166,-0.1628941312,-0.0654182243,0.1101374987,-0.1607325963,-0.0125230957,1.0000000000,-24.6266666667
6.300000,0.0026688731,-0.1582840894,-0.0780422490,0.0963457966,-0.1587077201,-0.0278605747,1.0000000000,-25.4600000000
6.400000,0.0182108133,-0.1523397040,-0.0896200495,0.0823240403,-0.1551851436,-0.0424584919,1.0000000000,-26.3066666667
6.500000,0.0330953828,-0.1451526528,-0.1000889148,0.0681611798,-0.1502442501,-0.0562098828,1.0000000000,-27.1666666667
6.600000,0.0472032369,-0.1368226296,-0.1093953412,0.0539473710,-0.1439746351,-0.0690175756,1.0000000000,-28.0400000000
6.700000,0.0604253613,-0.1274563861,-0.1174953849,0.0397732630,-0.1364750968,-0.0807947787,1.0000000000,-28.9266666667
6.800000,0.0726637281,-0.1171667297,-0.1243549324,0.0257292794,-0.1278525721,-0.0914655769,1.0000000000,-29.8266666667
6.900000,0.0838318499,-0.1060714855,-0.1299498871,0.0119049007,-0.1182210290,-0.1009653324,1.0000000000,-30.7400000000
7.000000,0.0938552284,-0.0942924323,-0.1342662708,-0.0016120469,-0.1077003220,-0.1092409887,1.0000000000,-31.6666666667
7.100000,0.1026716958,-0.0819542212,-0.1373002400,-0.0147360886,-0.0964150234,-0.1162512766,1.0000000000,-32.6066666667
7.200000,0.1102316478,-0.0691832871,-0.1390580174,-0.0273847806,-0.0844932381,-0.1219668197,1.0000000000,-33.5600000000
7.300000,0.1164981672,-0.0561067603,-0.1395557399,-0.0394793629,-0.0720654133,-0.1263701416,1.0000000000,-34.5266666667
7.400000,0.1214470400,-0.0428513902,-0.1388192252,-0.0509453836,-0.0592631524,-0.1294555741,1.0000000000,-35.5066666667
7.500000,0.1250666636,-0.0295424872,-0.1368836585,-0.0617132851,-0.0462180424,-0.1312290692,1.0000000000,-36.5000000000
7.600000,0.1273578516,-0.0163028936,-0.1337932043,-0.0717189514,-0.0330605056,-0.1317079181,1.0000000000,-37.5066666667
7.700000,0.1283335369,-0.0032519903,-0.1296005461,-0.0809042085,-0.0199186834,-0.1309203789,1.0000000000,-38.5266666667
7.800000,0.1280183776,0.0094952509,-0.1243663580,-0.0892172753,-0.0069173616,-0.1289052188,1.0000000000,-39.5600000000
7.900000,0.1264482711,0.0218291641,-0.1181587151,-0.0966131611,0.0058230539,-0.1257111757,1.0000000000,-40.6066666667
8.000000,0.1236697808,0.0336462268,-0.1110524458,-0.1030540054,0.0181875042,-0.1213963428,1.0000000000,-41.6666666667
8.100000,0.1197394828,0.0448498317,-0.1031284341,-0.1085093589,0.0300671795,-0.1160274854,1.0000000000,-42.7400000000
8.200000,0.1147232386,0.0553509878,-0.0944728772,-0.1129564007,0.0413603489,-0.1096792936,1.0000000000,-43.8266666667
8.300000,0.1086954017,0.0650689454,-0.0851765057,-0.1163800934,0.0519731139,-0.1024335807,1.0000000000,-44.9266666667
8.400000,0.1017379652,0.0739317404,-0.0753337722,-0.1187732715,0.0618200779,-0.0943784322,1.0000000000,-46.0400000000
8.500000,0.0939396603,0.0818766545,-0.0650420176,-0.1201366648,0.0708249297,-0.0856073156,1.0000000000,-47.1666666667
8.600000,0.0853950114,0.0888505882,-0.0544006201,-0.1204788557,0.0789209357,-0.0762181584,1.0000000000,-48.3066666667
8.700000,0.0762033598,0.0948103454,-0.0435101372,-0.1198161714,0.0860513386,-0.0663124013,1.0000000000,-49.4600000000
8.800000,0.0664678628,0.0997228269,-0.0324714446,-0.1181725113,0.0921696607,-0.0559940378,1.0000000000,-50.6266666667
8.900000,0.0562944783,0.1035651334,-0.0213848827,-0.1155791125,0.0972399112,-0.0453686455,1.0000000000,-51.8066666667
9.000000,0.0457909428,0.1063245783,-0.0103494167,-0.1120742542,0.1012366958,-0.0345424211,1.0000000000,-53.0000000000
9.100000,0.0350657541,0.1079986106,0.0005381834,-0.1077029054,0.1041452310,-0.0236212232,1.0000000000,-54.2066666667
9.200000,0.0242271646,0.1085946507,0.0111841345,-0.1025163167,0.1059612632,-0.0127096360,1.0000000000,-55.4266666667
9.300000,0.0133821961,0.1081298410,0.0214983978,-0.0965715626,0.1066908952,-0.0019100568,1.0000000000,-56.6600000000
9.400000,0.0026356836,0.1066307155,0.0313953959,-0.0899310368,0.1063503236,0.0086781807,1.0000000000,-57.9066666667
9.500000,-0.0079106443,0.1041327907,0.0407946834,-0.0826619047,0.1049654901,0.0189596432,1.0000000000,-59.1666666667
9.600000,-0.0181590397,0.1006800850,0.0496215663,-0.0748355192,0.1025716516,0.0288435868,1.0000000000,-60.4400000000
9.700000,-0.0280165594,0.0963245691,0.0578076633,-0.0665268045,0.0992128742,0.0382446908,1.0000000000,-61.7266666667
9.800000,-0.0373958295,0.0911255554,0.0652914077,-0.0578136127,0.0949414563,0.0470837332,1.0000000000,-63.0266666667
9.900000,-0.0462157468,0.0851490309,0.0720184835,-0.0487760594,0.0898172881,0.0552882002,1.0000000000,-64.3400000000
10.000000,-0.0544021111,0.0784669418,0.0779421936,-0.0394958450,0.0839071529,0.0627928264,1.0000000000,-65.6666666667
10.100000,-0.0618881831,0.0711564354,0.0830237579,-0.0300555651,0.0772839782,0.0695400621,0.9950985198,0.9852955593
11.100000,-0.0895993323,-0.0174626450,0.0848796985,0.0556967434,-0.0093906331,0.0887533293,0.9959418878,0.9878256635
12.100000,-0.0371609475,-0.0768898396,0.0180973509,0.0843680838,-0.0738186869,0.0310602296,0.9965849327,0.9897547982
13.100000,0.0388291194,-0.0627585876,-0.0532013150,0.0424527421,-0.0657226425,-0.0438461150,0.9970864169,0.9912592506
14.100000,0.0708730063,0.0023911079,-0.0703642599,-0.0273429731,-0.0026353464,-0.0710599103,0.9974850360,0.9924551079
15.100000,0.0378276073,0.0568636226,-0.0265301988,-0.0656484567,0.0543584831,-0.0342277077,0.9978071137,0.9934213412
16.100000,-0.0237311439,0.0559255687,0.0341520573,-0.0453193397,0.0573995528,0.0272963335,0.9980710621,0.9942131862
17.100000,-0.0575476611,0.0070328310,0.0587814911,0.0101547395,0.0103981913,0.0581557425,0.9982900722,0.9948702165
18.100000,-0.0376416445,-0.0425211681,0.0305939371,0.0509725319,-0.0404415192,0.0354073064,0.9984737951,0.9954213852
19.100000,0.0129756130,-0.0500432904,-0.0208358157,0.0445888884,-0.0507226419,-0.0156312487,0.9986294235,0.9958882706
20.100000,0.0472201270,-0.0133174518,0.0468694912,0.0010767039,-0.0156667118,-0.0479995654,0.9987624069,0.9962872206
21.100000,0.0368622825,0.0315346620,0.0366138900,-0.0392073353,0.0297876344,-0.0354505463,0.9988769345,0.9966308034
22.100000,-0.0049156831,0.0447586357,-0.0048854891,-0.0422718673,0.0449810647,0.0069510253,0.9989762699,0.9969288098
23.100000,-0.0387526999,0.0176163334,-0.0385348290,-0.0087331006,0.0192939394,0.0395879354,0.9990629861,0.9971889582
24.100000,-0.0356309960,-0.0227426497,-0.0354469547,0.0295476208,-0.0212641851,0.0347486646,0.9991391333,0.9974173998
25.100000,-0.0013041984,-0.0398712451,-0.0012979880,0.0391817453,-0.0398192850,-0.0002822273,0.9992063618,0.9976190854
26.100000,0.0315453257,-0.0205369072,0.0314064023,0.0140415261,-0.0217455404,-0.0323784882,0.9992660119,0.9977980358
27.100000,0.0340381113,0.0155053771,0.0338990686,-0.0214687810,0.0142493582,-0.0335123047,0.9993191814,0.9979575442
28.100000,0.0061726746,0.0352674367,0.0061492224,-0.0356958118,0.0350477686,-0.0049254230,0.9993667760,0.9981003280
