True,Noisy,Standard,Robust
0,0.29391133601834535,0.29391133601834535,0.29391133601834535
0.10487677152970694,0.1396188756494911,0.14943926767293683,0.21676124909710096
0.20859679946928295,-0.030811139338951132,-0.021186068237190527,0.1331413707497724
0.31001609858980317,0.9541696589576787,0.601915169360638,0.1331413707497724
0.408016059665773,0.6698599308762017,0.7124718184434845,0.1331413707497724
0.5015157872314542,0.46690400009595606,0.6572291531620761,0.21926139238710662
0.5894840213713949,0.7850793305751893,0.7678451801510087,0.21926139238710662
0.6709505120531779,1.0113186609023213,0.9277990793673598,0.21926139238710662
0.7450167205486168,0.8377799013727022,0.9615623074670019,0.21926139238710662
0.8108657299115395,0.5183167926460369,0.8647214582015492,0.2824738473297088
0.867771255204052,0.11899450431644121,0.6552422059559803,0.25284325119519757
0.9151056540925363,0.9122790205641236,0.7497005983051761,0.25284325119519757
0.9523468494601222,0.988990594074961,0.8440257338955182,0.25284325119519757
0.9790840876823228,1.0033723630247509,0.9195704738422502,0.25284325119519757
0.9950224690546545,0.7887828643067177,0.9141382501861359,0.25284325119519757
0.9999862004036565,0.835847230546384,0.9189617275230436,0.25284325119519757
0.9939205340064792,1.1475243879362944,1.0066367488292807,0.25284325119519757
0.9768923714336271,1.0022661654795524,1.0351504618766838,0.25284325119519757
0.9490895256547462,1.2975794873829027,1.136083942335357,0.25284325119519757
0.9108186495460932,0.9453029493262652,1.118829718540984,0.25284325119519757
0.8625018536473203,0.849508674718633,1.0727096581465976,0.25284325119519757
0.8046720504721938,0.43697176349348577,0.9164966248789252,0.28240425441597106
0.7379670767234044,0.4830354971207239,0.795480283825029,0.3116357151418298
0.6631226582407955,0.3712784021602637,0.6637074144457592,0.319670875512094
0.5809642952764635,0.8252954115622042,0.6803105441196118,0.319670875512094
0.4923981575984937,0.36564401132329305,0.5723312038787547,0.3254830373663041
0.3984010898462418,0.3291855283791244,0.47517640246098813,0.32592751272953024
0.3000098373735885,0.38060459764849347,0.4125906697787047,0.33221983733873633
0.19830961141427728,0.3913544821537871,0.3687757178850598,0.33879416426065473
0.09442211969040308,0.02287075153867736,0.236793054672534,0.3046494716333538
-0.0105068055189361,0.015026478653041485,0.1297761538239583,0.27406272562276796
-0.11531984539199387,-0.20009337916170677,-0.011800047102095285,0.27406272562276796
-0.21886095927013013,-0.10326492766053665,-0.09595900210183841,0.27406272562276796
-0.3199881352659974,-0.3332999855250828,-0.2204656701182921,0.27406272562276796
-0.4175859861406961,-0.8214086177418461,-0.4495658497361776,0.27406272562276796
-0.5105780515230374,-0.5570836124006003,-0.5590857396095242,0.27406272562276796
-0.5979386707829786,-3.162719408863132,-1.353533044583886,0.27406272562276796
-0.6787042956067714,-0.2913898542583388,-1.2190362720403964,0.27406272562276796
-0.7519841175012184,-0.3344213290231477,-1.093751737775204,0.27406272562276796
-0.816969893010442,-0.7739723170525203,-1.091132563537381,0.27406272562276796
