True,UKF
1,0.8802602775455266
0.99,0.8745375346182066
0.9701166583353171,0.8667106862310114
0.9406465752473733,0.8567437294033692
0.9020693429735048,0.8447148225824337
0.855022748925641,0.8357469882581092
0.8002694809248753,0.825153805153879
0.738658875857006,0.8129452657420161
0.6710875377884129,0.8007802271057536
0.5984623790845415,0.7869743835988802
0.5216689312093086,0.7708650245294218
0.4415468192951545,0.7564999907786204
0.35887329396462136,0.7443294091389179
0.2743548252775285,0.7267513274928417
0.18862608410451193,0.6903863523792786
0.10225519701622685,0.6729352098171403
0.015753941112620184,0.5642835369936157
-0.07040850705772173,0.9021037333027342
-0.155789602373957,0.8038080470078323
-0.23995647819589036,0.6971748070350355
-0.3224691478182068,0.38528746931244157
-0.4028649266459448,-0.1263661150648559
-0.4806451039314925,-0.30038831988884324
-0.5552648804549558,-0.3598260130824057
-0.6261275763101647,-0.22085286000755633
-0.6925840640635752,-0.5493304190415552
-0.7539382528808594,-0.6669528641174368
-0.8094591950104213,-0.6863564675969844
-0.8583999745035653,-0.6943180877249505
-0.9000229605842605,-0.7543662760210277
-0.9336302933510953,-0.9552921903053506
-0.9585976924900661,-0.9167155405856888
-0.974408960762419,-0.9424038113602704
-0.9806880433441212,-0.9422039545805639
-0.9772253501748859,-0.9299879491371423
-0.9639953563680225,-0.8930568377366881
-0.9411632865783505,-0.8309396144880631
-0.9090798770470404,-0.8381943600862137
-0.8682646075692285,-0.7905674621767212
-0.8193791580934708,-0.6635797178053274
-0.7631939260535249,-0.6675944787764898
-0.7005510614241421,-0.6311641225707934
-0.6323275659657499,-0.7255321415837375
-0.5594016069522632,-0.686542501092241
-0.48262445021612577,-0.5872131359429194
-0.4027995023113869,-0.49694126882207856
-0.3206690403263089,-0.2962149709871893
-0.2369084305972049,-0.3471322960333578
-0.1521270649566494,-0.16852380538900835
-0.06687488884415228,-0.027607201415433893
0.018346768940616792,0.006299238793136451
0.10307138144897329,0.04028956822633348
0.18685168579362962,0.14681320930959535
0.2692435990819726,0.2624366218209203
0.3497906847286319,0.19995948858493895
0.4280102097532373,0.34606839511047677
0.5033818030077051,0.5166738811346239
0.5753397044064067,0.5878677852235601
0.643269558150627,0.6455076645182048
0.7065106111629841,0.7217954076853581
0.7643639904459707,0.6742867310637783
0.816107413837574,0.7951445253109684
0.861016217823533,0.8609009050673018
0.898389972425681,0.8871887978875457
0.9275832445687745,0.8915958626221693
0.948038358730764,0.9563677247374902
0.9593174139230485,0.9780792689363542
0.9611304901909274,0.9774889604215248
0.9533570370505564,0.9034386805818195
0.936057943058783,0.8687855071854934
0.9094767131716681,0.8327602540472073
0.8740294035647939,0.8540057673485034
0.830284279477774,0.8266220929463174
0.7789333374139298,0.7953495632641318
0.7207586648304639,0.8011170405099838
0.6565969748744248,0.7650217367828303
0.587305533370925,0.6202471615041825
0.5137321718438302,0.3752028104743379
0.4366913009845663,0.3080765898108114
0.35694697070970877,0.3173121168698986
0.27520321136672266,0.2300290102518555
0.1921012339438999,0.07880229064319248
0.10822260857658814,-0.018007673254935887
0.024097276035643128,0.032073744524771436
-0.05978485970344968,-0.011093549183796986
-0.14296000871845904,-0.15234109646287813
-0.22497543510809775,-0.2990656649381494
-0.30537437847732407,-0.28516710913400417
-0.3836820118992434,-0.33776686086530394
-0.45939344754585815,-0.42647036510040426
-0.5319647714148281,-0.5219997351180417
-0.6008080527126003,-0.5665129372162816
-0.665291200562259,-0.774868503695974
-0.7247433939149509,-0.7724662235664317
-0.7784665541283842,-0.8169448157930125
-0.8257529385692508,-0.9147928958577529
-0.8659084045929535,-0.9350028431511648
-0.8982802556903363,-0.9463199273928498
-0.9222879038202726,-0.9506933116705966
-0.9374539691450338,-0.9676066674273498
-0.9434330181487258,-0.8485736569721797
-0.9400350365243081,-0.7916196293266795
-0.9272410281287647,-0.7760681776217866
-0.9052088379514127,-0.7041966322098977
-0.8742683383229382,-0.7387606508865505
-0.8349063340522711,-0.6626637759713279
-0.7877427253798532,-0.5659123934450987
-0.7335004112823335,-0.5685033802779514
-0.6729719677115733,-0.6166767095410117
-0.6069862333221386,-0.4446412843151703
-0.536377613647667,-0.30240739371092873
-0.46196028465802025,-0.24465254638448405
-0.38450868791970794,-0.18076101861773483
-0.30474490964052486,-0.2092445020826039
-0.22333283864210485,-0.2584952272456368
-0.14087846908763152,-0.20467162397647098
-0.05793536983800543,-0.049937543381962726
0.024985835999892472,0.07979101717028159
0.10740519132903406,0.20116767542446629
0.18885951126660944,0.20204677003553723
0.26888800273215857,0.33081743491749477
0.3470184621629171,0.45138512150189297
0.4227550654473796,0.4621230127741958
0.4955687261991046,0.520923439748818
0.5648909597104009,0.5520116716049556
0.6301121253070673,0.5509637604915081
0.6905847969488741,0.5981554961378338
0.7456327970173448,0.5995250219418332
0.7945660944367092,0.7036396781757739
0.8367013056597122,0.7986820625096835
0.8713869628706038,0.8430638813925802
0.898032079926538,0.8342346160495352
0.9161359404536993,0.9046741807913442
0.925316567481829,0.9359536259513411
0.9253351281646135,0.931765824421707
0.916113673269993,0.9235789706649651
0.8977441452300042,0.9322927928040465
0.8704874680228137,0.9265906966857914
0.8347626338935403,0.8397191895968749
0.79112684468628,0.7683908226312407
0.7402487523206684,0.702138287803331
0.6828775099294937,0.7247870022819478
0.6198106012702318,0.6335012982112443
0.5518632596373934,0.5685240152690888
0.47984179701535895,0.5696356755953265
0.40452246816029613,0.4305090781482127
0.32663673361086437,0.21896660085370528
0.2468630806013068,0.2819561531871578
0.16582499114028856,0.15966838664010927
0.08409424607358537,0.06581312182236373
0.00219851780952085,0.022864174715824827
-0.07936789814674526,-0.05159187923702303
-0.1601313737750361,-0.09628950436922915
-0.23962538343089212,-0.1280393785707
-0.31737714975800174,-0.23510628645349063
-0.3928955151767822,-0.34809782357763747
-0.4656610102837869,-0.3520763279937885
-0.5351190479546991,-0.412880221635907
-0.6006771100396956,-0.5567848030611378
-0.6617066840232321,-0.5298964507029497
-0.7175505187376601,-0.6141142144541812
-0.7675354744141916,-0.6696387816140119
-0.810990829712473,-0.8452263077583954
-0.8472713866203058,-0.8823423043772495
-0.8757841237530223,-0.9126689117700623
-0.896016563305949,-0.9063195686958536
-0.9075645373158444,-0.934379305809546
-0.9101567755244075,-0.9237047462523004
-0.9036737844758698,-0.8529207069490853
-0.8881588945949951,-0.8496925623435421
-0.8638200993982462,-0.8121129483491016
-0.8310223034494413,-0.8024398939143501
-0.7902706767763761,-0.8012375341567991
-0.7421868002234839,-0.8130831929594196
-0.687480013649832,-0.7069913302255084
-0.6269167400359065,-0.5229392112053162
-0.5612905267428039,-0.5525330310201919
-0.4913951722724229,-0.4990569025431116
-0.4180027008243104,-0.6151239141770001
-0.34184723812074214,-0.2615154576615841
-0.2636151506191218,-0.29655133650531484
-0.18394122380863875,-0.12981548154871492
-0.10341021942676532,-0.19198069255859757
-0.02256287297459368,-0.012837091591019922
0.05809474945895782,-0.012364994478311409
0.13807965861520116,0.08529423267464675
0.21691921929097713,0.07520214925965478
0.2941383578338151,0.31793822707384733
0.3692477104923638,0.38039698476207073
0.4417336775600056,0.4824559750398772
0.5110513024844886,0.48799134139015465
0.5766208331820596,0.5318944456368707
0.637828720068944,0.6997024642891712
0.6940336333807342,0.7121977877861646
0.7445778155555703,0.7316880383016664
0.7888037082125472,0.6740972150226446
0.8260753129383078,0.6414554946813613
0.8558031936249081,0.7248194668258674
0.87747146916408,0.7183399586954733
0.890664668991039,0.8340879720852129
