True,UKF
0,-0.029163191965688506
0.1,-0.013148880039207111
0.199,0.009857587319099664
0.2960116658335317,0.026543042856898347
0.39007632335826903,0.0002457527030007567
0.4802832576556195,0.02152876829896226
0.5657855325481836,0.04206159218947998
0.6458124806406712,0.050022716020082625
0.7196783682263718,0.07580258567238413
0.7867871220052131,0.09836812361750469
0.8466333599136672,0.0982264192091381
0.898800253034598,0.14620408142357078
0.9429549349641134,0.2843034030864111
0.9788422643605755,0.44056716551671005
1.0062777468883284,0.5123514724131466
1.0251403552987797,0.7020789488830883
1.0353658750004024,0.6992599640698193
1.0369412691116644,0.9898835460699179
1.0299004184058922,1.077451813134345
1.0143214581684965,1.1535363964007386
0.9903258103489074,1.1293428855094576
0.9580788955670867,0.9511291296716796
0.9177924029024922,0.8808979244163976
0.8697278925093429,0.8607118994915564
0.8142014044638474,0.9913437618653459
0.7515886468328309,0.7548951252956267
0.6823302404264734,0.6482285627348635
0.6069364151383875,0.6159340395416547
0.5259904956373453,0.5940360239556542
0.4401504981869888,0.5107211858170907
0.3501482021285628,0.2337692421078108
0.25678517279345325,0.20816608006305337
0.16092540354444662,0.09478292793375062
0.06348450746820472,0.0005213483744079848
-0.0345842968662074,-0.08830289494737456
-0.132306831883696,-0.13987646567327294
-0.22870636752049825,-0.13226289720910955
-0.3228226961783333,-0.2903639017843531
-0.41373068388303735,-0.34131081566563753
-0.5005571446399601,-0.19549485811998757
-0.5824950604493072,-0.3278482024476354
-0.6588144530546597,-0.3981303769556494
-0.7288695591970739,-0.7202923889795658
-0.7921023157936489,-0.8473008854165837
-0.8480424764888752,-0.8911973331877392
-0.8963049215104878,-0.9410881228303503
-0.9365848717416265,-0.8566367833372648
-0.9686517757742574,-1.0361500148050942
-0.9923426188339779,-0.9657359170087708
-1.0075553253296428,-0.914720351323666
-1.014242814214058,-0.9714616549220182
-1.0124081373199965,-1.029081946143075
-1.002100999175099,-0.9982096435044546
-0.9834158305957361,-0.9421299116441879
-0.9564914706875388,-1.0900923831566314
-0.9215124022146757,-0.9952673628352343
-0.8787113812393519,-0.8475437968994698
-0.8283732009385814,-0.7932945210274913
-0.7708392304979407,-0.7437937053296049
-0.706512274682878,-0.658095111692598
-0.6358612135665797,-0.7253016157908483
-0.5594248145219826,-0.5702751488289167
-0.47781407313822516,-0.46159933765505995
-0.39171245135587185,-0.38899673131707324
-0.30187345411330374,-0.3379849111834329
-0.20911512965642629,-0.18028028739000096
-0.11431129378334988,-0.0601099925227751
-0.018379552391045023,0.044426694656383874
0.07773349662804772,0.00862109189305632
0.17306920033310336,0.03686759707078093
0.26667499463898164,0.056324141872136066
0.35762266595614844,0.2515260880635227
0.44502560631262783,0.3536804463976321
0.5280540342604052,0.47190437089549164
0.6059473680017982,0.7065809288791891
0.6780232344848446,0.8539341926771474
0.7436829319722871,0.8442582401385015
0.8024134853093796,0.7101433613549757
0.8537867024937627,0.7491065702246612
0.8974558325922193,0.8743686852650696
0.9331505296631901,0.8963427632167961
0.9606708507998624,0.8336849150159771
0.9798809741942524,0.8141511620857265
0.9907032350519112,0.9630620554792647
0.9931129626554754,1.0140620697791245
0.9871344766851304,0.9426504002556055
0.9728384758132845,0.843606145449588
0.9503409323024747,0.9205215011811303
0.9198034944547423,0.9218525872199285
0.881435293264818,0.8712812972414765
0.8354959485102321,0.7977499485134804
0.7822994713687493,0.7732920172602691
0.7222186660974893,0.5232427963417317
0.6556895460412634,0.5066154371762847
0.5832152066497683,0.4230996713132438
0.5053685512369299,0.24100743855212203
0.42279325738000484,0.13991807693067915
0.3362024169207095,0.03398121616259815
0.24637439135167588,-0.08175884136476472
0.15414560096964863,-0.2537867487008123
0.06040020405514525,-0.13853979012300152
-0.03394309775972734,-0.13412398169976897
-0.12794660141215816,-0.2270028306879162
-0.22067070422503465,-0.1951311478817946
-0.31119158802017594,-0.4159384967973881
-0.39861842185246976,-0.4207670414460183
-0.4821090552576969,-0.3876447485718859
-0.5608833277956822,-0.5223475833896352
-0.6342333689239155,-0.7416594149103172
-0.7015305656950728,-0.6612316509551147
-0.7622291890272866,-0.605265948959127
-0.8158669503920534,-0.6375144079096075
-0.8620629788578554,-0.6586440584036439
-0.9005138476498262,-0.7948751484334015
