True,EKF
0,0.12351203196055761
0.1,0.4206260099808278
0.199,0.35125901206166266
0.2960116658335317,0.40808838252660945
0.39007632335826903,0.36156540774660073
0.4802832576556195,0.6308715260678891
0.5657855325481836,0.7382145028485156
0.6458124806406712,0.6879695778668034
0.7196783682263718,0.6857364704383699
0.7867871220052131,0.7920892587262044
0.8466333599136672,0.9196639593027435
0.898800253034598,0.9823953990990839
0.9429549349641134,1.0613961284264462
0.9788422643605755,0.9878259146209314
1.0062777468883284,0.9844839830546982
1.0251403552987797,0.9914309472006108
1.0353658750004024,1.0046523263026113
1.0369412691116644,0.9809815676240908
1.0299004184058922,0.9267151743887837
1.0143214581684965,1.015233297674872
0.9903258103489074,0.9138595362730159
0.9580788955670867,1.0000408799303593
0.9177924029024922,0.8639852579698687
0.8697278925093429,0.7491632649342828
0.8142014044638474,0.6335282026034397
0.7515886468328309,0.7203655277070687
0.6823302404264734,0.5184926349187509
0.6069364151383875,0.5530473413750641
0.5259904956373453,0.4275743806684762
0.4401504981869888,0.28360587726007475
0.3501482021285628,0.2751775437870404
0.25678517279345325,0.214405235872448
0.16092540354444662,0.11555241380909645
0.06348450746820472,0.003930895258703999
-0.0345842968662074,-0.11065461604693465
-0.132306831883696,-0.31728834925899824
-0.22870636752049825,-0.24429797072
-0.3228226961783333,-0.6239281449595592
-0.41373068388303735,-0.4633637595557057
-0.5005571446399601,-0.5726243891994964
-0.5824950604493072,-0.74200558751374
-0.6588144530546597,-0.818555549551191
-0.7288695591970739,-0.6305149147859166
-0.7921023157936489,-0.8880868843136149
-0.8480424764888752,-0.7726783021026218
-0.8963049215104878,-0.9408054893687555
-0.9365848717416265,-0.8373467852638109
-0.9686517757742574,-0.9184676243326706
-0.9923426188339779,-1.0300384589794604
-1.0075553253296428,-0.913330980118323
-1.014242814214058,-0.9819636939812522
-1.0124081373199965,-0.9513378785591813
-1.002100999175099,-0.9279866191997022
-0.9834158305957361,-0.9722972698299942
-0.9564914706875388,-0.9099335806099846
-0.9215124022146757,-0.9431769356620268
-0.8787113812393519,-0.906173827229199
-0.8283732009385814,-0.9399256274369411
-0.7708392304979407,-0.8981095298590961
-0.706512274682878,-0.8075788917887693
-0.6358612135665797,-0.6468455748422257
-0.5594248145219826,-0.5926243150272618
-0.47781407313822516,-0.5145325222300422
-0.39171245135587185,-0.34882273617509457
-0.30187345411330374,-0.16789616319995254
-0.20911512965642629,-0.09795877482098365
